fecha,tienda_id,producto_id,categoria,region,ciudad,precio_unitario,cantidad_vendida,ingreso_total,en_promocion,stock_inicio_dia,stock_fin_dia,dias_plazo_proveedor,quiebre_stock
2023-02-21,STORE_05,PROD_015,Limpieza,Oeste,Maldonado,4.32,3,12.96,0,22,21,2,0
2023-01-02,STORE_04,PROD_030,Snacks,Oeste,Paysandú,1.72,4,6.88,0,79,77,3,0
2023-02-16,STORE_03,PROD_044,Lácteos,Oeste,Montevideo,2.92,5,14.6,0,72,65,7,0
2023-03-01,STORE_04,PROD_008,Limpieza,Sur,Montevideo,3.91,8,31.28,0,67,61,5,0
2023-03-03,STORE_05,PROD_016,Panadería,Sur,Maldonado,1.61,6,9.66,1,82,75,5,0
2023-03-22,STORE_03,PROD_035,Bebidas,Este,Maldonado,2.94,6,17.64,0,63,59,5,0
2023-02-04,STORE_01,PROD_035,Panadería,Este,Salto,1.69,4,6.76,0,82,75,7,0
2023-01-04,STORE_05,PROD_023,Panadería,Este,Salto,1.44,9,12.96,1,81,69,2,0
2023-01-27,STORE_01,PROD_013,Bebidas,Este,Salto,2.56,4,10.24,0,71,64,3,0
2023-02-27,STORE_04,PROD_012,Snacks,Este,Montevideo,1.7,7,11.9,1,89,82,5,0
2023-03-16,STORE_03,PROD_017,Panadería,Oeste,Durazno,1.64,3,4.92,0,22,19,7,0
2023-02-28,STORE_04,PROD_019,Snacks,Este,Salto,1.81,8,14.48,0,26,18,7,0
2023-03-31,STORE_01,PROD_049,Snacks,Norte,Paysandú,1.92,14,26.88,1,85,73,5,0
2023-03-21,STORE_05,PROD_041,Lácteos,Norte,Paysandú,3.11,6,18.66,0,41,37,3,0
2023-02-07,STORE_05,PROD_008,Limpieza,Este,Durazno,4.02,6,24.12,0,63,57,3,0
2023-02-15,STORE_05,PROD_006,Limpieza,Oeste,Montevideo,4.74,5,23.7,0,52,46,7,0
2023-01-18,STORE_01,PROD_042,Snacks,Este,Durazno,1.95,15,29.25,1,35,22,7,0
2023-03-28,STORE_04,PROD_034,Snacks,Oeste,Salto,1.87,2,3.74,0,71,67,3,0
2023-01-15,STORE_03,PROD_037,Bebidas,Oeste,Maldonado,2.45,10,24.5,1,81,68,7,0
2023-01-01,STORE_02,PROD_001,Snacks,Oeste,Montevideo,1.98,7,13.86,0,97,90,2,0
2023-02-16,STORE_01,PROD_030,Lácteos,Norte,Paysandú,2.9,4,11.6,0,88,84,3,0
2023-02-21,STORE_02,PROD_019,Snacks,Oeste,Montevideo,1.91,11,21.01,0,84,70,7,0
2023-03-15,STORE_03,PROD_044,Panadería,Norte,Paysandú,1.4,2,2.8,0,27,26,3,0
2023-03-15,STORE_02,PROD_034,Limpieza,Norte,Paysandú,4.43,5,22.15,0,43,37,2,0
2023-02-05,STORE_02,PROD_049,Panadería,Oeste,Montevideo,1.66,5,8.3,0,31,27,2,0
2023-01-19,STORE_04,PROD_009,Lácteos,Sur,Paysandú,3.43,7,24.01,0,61,52,5,0
2023-01-14,STORE_02,PROD_005,Limpieza,Este,Maldonado,4.02,5,20.1,0,69,63,3,0
2023-03-07,STORE_05,PROD_029,Panadería,Sur,Salto,1.61,10,16.1,1,64,55,3,0
2023-02-27,STORE_04,PROD_028,Panadería,Este,Montevideo,1.68,3,5.04,0,52,51,2,0
2023-01-06,STORE_02,PROD_044,Panadería,Oeste,Maldonado,1.37,11,15.07,1,31,18,7,0
2023-01-16,STORE_04,PROD_024,Lácteos,Norte,Durazno,3.06,6,18.36,0,52,47,7,0
2023-03-18,STORE_04,PROD_048,Panadería,Norte,Salto,1.72,14,24.08,1,20,7,7,0
2023-02-24,STORE_04,PROD_017,Panadería,Este,Maldonado,1.8,7,12.6,0,81,71,2,0
2023-02-01,STORE_02,PROD_028,Snacks,Sur,Durazno,1.88,14,26.32,1,98,83,5,0
2023-03-04,STORE_02,PROD_038,Bebidas,Oeste,Paysandú,2.47,8,19.76,0,62,53,5,0
2023-01-23,STORE_03,PROD_016,Lácteos,Oeste,Paysandú,3.21,5,16.05,1,80,77,2,0
2023-03-11,STORE_01,PROD_005,Bebidas,Oeste,Durazno,2.92,5,14.6,0,67,63,2,0
2023-01-26,STORE_04,PROD_001,Bebidas,Este,Maldonado,2.99,5,14.95,0,78,72,5,0
2023-01-03,STORE_03,PROD_047,Lácteos,Norte,Durazno,3.31,3,9.93,0,76,70,5,0
2023-03-27,STORE_02,PROD_044,Bebidas,Norte,Maldonado,2.7,6,16.2,0,61,52,2,0
2023-01-06,STORE_04,PROD_026,Snacks,Este,Salto,2.15,2,4.3,0,23,23,5,0
2023-03-03,STORE_01,PROD_003,Limpieza,Este,Maldonado,4.78,8,38.24,0,27,17,5,0
2023-02-14,STORE_04,PROD_005,Snacks,Sur,Paysandú,1.85,3,5.55,0,56,55,5,0
2023-03-18,STORE_03,PROD_003,Bebidas,Sur,Durazno,2.59,4,10.36,0,28,23,5,0
2023-01-24,STORE_03,PROD_030,Bebidas,Norte,Paysandú,2.97,4,11.88,0,41,37,7,0
2023-03-13,STORE_03,PROD_041,Panadería,Sur,Paysandú,1.42,8,11.36,0,70,63,3,0
2023-01-23,STORE_01,PROD_025,Bebidas,Norte,Durazno,2.66,10,26.6,1,46,33,3,0
2023-03-09,STORE_02,PROD_010,Panadería,Este,Durazno,1.5,5,7.5,1,95,91,3,0
2023-01-27,STORE_03,PROD_036,Lácteos,Sur,Salto,3.46,7,24.22,1,79,71,7,0
2023-03-09,STORE_05,PROD_037,Snacks,Norte,Paysandú,1.82,3,5.46,0,20,19,2,0
2023-01-21,STORE_02,PROD_046,Lácteos,Sur,Montevideo,3.2,6,19.2,0,44,36,5,0
2023-02-07,STORE_02,PROD_007,Snacks,Este,Durazno,2.12,3,6.36,0,71,70,2,0
2023-03-29,STORE_01,PROD_049,Panadería,Este,Salto,1.63,5,8.15,0,80,72,5,0
2023-01-01,STORE_05,PROD_030,Limpieza,Este,Salto,4.02,10,40.2,0,27,18,5,0
2023-01-03,STORE_02,PROD_010,Limpieza,Sur,Durazno,4.09,3,12.27,0,86,82,5,0
2023-03-13,STORE_01,PROD_047,Panadería,Este,Salto,1.64,5,8.2,0,56,53,2,0
2023-01-14,STORE_02,PROD_007,Snacks,Este,Montevideo,1.73,8,13.84,0,24,17,3,0
2023-01-09,STORE_02,PROD_044,Limpieza,Oeste,Durazno,4.52,5,22.6,0,33,25,7,0
2023-03-07,STORE_05,PROD_025,Bebidas,Sur,Salto,2.57,7,17.99,0,56,46,3,0
2023-03-17,STORE_05,PROD_042,Panadería,Este,Montevideo,1.47,7,10.29,0,21,14,3,0
2023-03-06,STORE_03,PROD_036,Limpieza,Sur,Maldonado,4.07,8,32.56,0,55,47,5,0
2023-03-22,STORE_03,PROD_045,Limpieza,Sur,Montevideo,4.53,5,22.65,0,22,15,2,0
2023-02-13,STORE_03,PROD_030,Snacks,Oeste,Salto,1.79,14,25.06,1,45,29,7,0
2023-03-12,STORE_01,PROD_023,Snacks,Norte,Durazno,1.79,5,8.95,0,37,31,3,0
2023-01-17,STORE_03,PROD_044,Lácteos,Norte,Durazno,3.73,8,29.84,0,85,76,3,0
2023-02-03,STORE_03,PROD_013,Panadería,Sur,Salto,1.38,1,1.38,0,81,81,7,0
